objeto,confianza,fotograma,camara
persona,0.8704800409403741,24161.0,lateral
coche,0.8556692181982846,15559.0,lateral
persona,0.6186569927769539,32309.0,lateral
persona,0.8474686243807019,27688.0,lateral
coche,0.8274487219513715,36349.0,frontal
persona,0.6306534712837423,55586.0,frontal
coche,0.6915162880168599,1826.0,frontal
persona,0.8365652868986637,30274.0,frontal
persona,0.7352825627347139,52925.0,frontal
persona,0.7433366931768296,55256.0,frontal
persona,0.7694346373415037,30213.0,frontal
coche,0.7653746818213207,55087.0,frontal
bici,0.8950695717443987,23342.0,lateral
coche,0.9507916839366072,43747.0,lateral
persona,0.7414823412363577,47017.0,lateral
persona,0.9243049916397946,49783.0,lateral
persona,0.7640215377397197,9617.0,frontal
bici,0.7640522238191982,4607.0,lateral
persona,0.8901423447709211,42893.0,lateral
persona,0.44979842289804867,51792.0,frontal
coche,0.7805410005775509,18943.0,frontal
perro,0.9114135532188528,23534.0,frontal
bici,0.661377792207607,38059.0,lateral
coche,0.8752117803403069,52072.0,lateral
persona,0.7309513936643292,17260.0,frontal
bici,0.8161758992146938,35507.0,frontal
persona,0.7262099957619517,32085.0,frontal
persona,0.6017168034648924,43334.0,frontal
bici,,54087.0,lateral
coche,0.7835672204764832,28786.0,lateral
persona,0.8732360870395387,14760.0,lateral
bici,0.9088788544061075,29378.0,frontal
persona,0.6394338388709326,33678.0,lateral
persona,0.7493470216344232,28456.0,frontal
persona,0.853681144270233,6543.0,lateral
persona,0.5963723207341407,21440.0,lateral
persona,0.8003496619810385,8680.0,lateral
coche,0.7984733415189064,25015.0,lateral
persona,0.9097593875653854,13925.0,frontal
persona,0.6870867960429302,58784.0,lateral
perro,0.9186540338642697,44230.0,frontal
coche,0.6505778898764436,17752.0,frontal
persona,0.8547062791924247,56702.0,lateral
coche,0.8185274521803614,50456.0,frontal
persona,0.815711532531668,28062.0,frontal
persona,0.8324157312296143,15061.0,frontal
coche,0.6384774670303809,53796.0,frontal
persona,0.9433692592323415,53705.0,lateral
persona,0.7785900223385026,59811.0,frontal
coche,,54743.0,lateral
coche,0.9159084135417808,52364.0,lateral
persona,0.5663508875526815,40690.0,lateral
persona,0.8390483171012193,34929.0,lateral
coche,0.8345476097047179,25678.0,frontal
persona,0.7383561737912987,25549.0,lateral
,0.7534287726213128,49827.0,lateral
persona,0.9526855677677057,37673.0,lateral
bici,0.5947300476817033,20937.0,lateral
persona,0.6277032216543,9747.0,lateral
persona,0.8900700245898315,15691.0,frontal
persona,0.7296113674857297,59656.0,frontal
coche,0.8718712135279895,34538.0,lateral
bici,0.8044205636286031,31494.0,lateral
persona,0.7930059047448791,8374.0,frontal
persona,0.8677698619127808,48238.0,lateral
bici,0.9832421127887506,13839.0,frontal
coche,0.5445343940113231,30177.0,frontal
persona,0.7852706388126408,27197.0,frontal
coche,0.5853849420225548,32379.0,lateral
persona,0.5649698010831675,7763.0,lateral
bici,1.2498776268956315,56578.0,lateral
bici,0.8760266177402242,292.0,lateral
persona,0.79856730610424,18957.0,lateral
coche,0.7795058858542594,23344.0,frontal
persona,0.8583598866507945,1674.0,lateral
persona,0.8589759527130422,47940.0,lateral
coche,0.808747922515786,37891.0,frontal
persona,0.9563658070237002,30156.0,lateral
persona,0.9525962096982504,9631.0,frontal
bici,0.8430278775931579,37220.0,lateral
persona,0.530977421246276,11434.0,lateral
bici,0.7925711510497486,45375.0,frontal
coche,0.7841818488645066,20947.0,frontal
coche,0.7751250349791151,22040.0,lateral
perro,0.7633489902172399,34546.0,frontal
coche,0.7545453206119702,58151.0,lateral
coche,0.8046486511016321,55266.0,frontal
coche,0.7843757177399575,41278.0,lateral
bici,0.879628429482458,6316.0,lateral
persona,0.6699435046568383,11903.0,lateral
persona,0.7810266923376732,10303.0,lateral
coche,0.8373657914598623,40865.0,frontal
bici,0.8398155536640317,51523.0,frontal
coche,0.6900430713570785,24333.0,lateral
coche,0.8066743218139092,55502.0,lateral
bici,0.8716936904815898,24879.0,frontal
coche,0.8693142210961918,23413.0,frontal
persona,0.9572952413332081,40914.0,lateral
coche,0.9567763920249526,5661.0,frontal
perro,0.9449264661690054,27451.0,frontal
persona,0.6833502281581899,54931.0,lateral
persona,0.5943464484747719,7444.0,frontal
coche,0.7370064899296876,5384.0,frontal
coche,0.7715178555979034,26812.0,frontal
bici,0.686630911088419,52225.0,frontal
persona,0.9442860688977878,18575.0,frontal
coche,0.7696089059888055,28951.0,frontal
coche,0.8379949202413441,9760.0,frontal
bici,0.7620566746831213,59984.0,frontal
persona,0.6390904855789012,57922.0,frontal
coche,0.894835691915751,6748.0,frontal
bici,0.703843196428322,22031.0,frontal
persona,0.374691889531177,20597.0,frontal
persona,0.8438842803570434,51532.0,frontal
persona,0.9185573904730303,29933.0,frontal
persona,0.9581480430523365,26610.0,lateral
coche,0.6981025457982643,31965.0,lateral
bici,0.8410717493050379,14282.0,lateral
coche,0.6468976886415555,18139.0,frontal
coche,0.887713157552914,33201.0,lateral
persona,0.8394675000415052,27814.0,lateral
perro,,33365.0,lateral
coche,0.9362899381511496,10820.0,lateral
persona,0.9008382787569866,29420.0,lateral
persona,0.7736131890253053,37499.0,lateral
coche,0.6922713926353161,42751.0,frontal
bici,0.6800231808810666,40836.0,lateral
coche,0.8477975321905408,5706.0,frontal
persona,1.6956216979332606,11530.0,lateral
persona,0.9284714428619245,56735.0,lateral
coche,0.6381727246379499,52327.0,frontal
persona,0.7510685575021038,49618.0,frontal
persona,0.5722808039471328,51650.0,lateral
coche,0.42711949906808266,15789.0,lateral
persona,0.854444609108102,1247.0,lateral
persona,0.6033241152551437,12286.0,lateral
bici,0.8677406906745293,17201.0,frontal
bici,0.7489652916339296,11287.0,frontal
persona,,46663.0,frontal
coche,0.7127737326587269,54635.0,frontal
persona,0.7812497295422157,19854.0,lateral
perro,0.6785124310637825,40189.0,frontal
persona,0.5267403583796161,28661.0,lateral
bici,0.7227178268040815,193.0,frontal
persona,0.7193240407805309,821.0,lateral
bici,0.48567534344771557,4078.0,frontal
persona,0.6960226610736104,19286.0,frontal
bici,0.834740879271185,51732.0,lateral
coche,0.8238001399092454,36341.0,lateral
coche,0.8630883888049369,57967.0,frontal
perro,0.6967154210501739,55352.0,lateral
coche,0.6061680539338479,58350.0,lateral
bici,0.6567693104476755,33406.0,lateral
coche,0.5686389360047175,42228.0,frontal
coche,0.7295393609527827,27623.0,frontal
coche,0.6926936009036293,32919.0,frontal
coche,,38768.0,frontal
coche,0.947339877799904,49262.0,frontal
coche,0.8924800364409173,45567.0,lateral
perro,0.5745707151967292,46553.0,lateral
bici,0.7195579277545021,9025.0,lateral
coche,0.6537813493194076,714.0,frontal
bici,0.8093152211831948,42879.0,lateral
persona,0.591138865667329,21761.0,frontal
coche,0.8419623074858423,30681.0,frontal
bici,0.8861226992326776,13916.0,frontal
coche,0.7086899886673134,37185.0,frontal
persona,0.7662844254977859,5952.0,frontal
persona,0.6206259640277697,59783.0,lateral
perro,0.6945915180011665,8897.0,frontal
bici,0.7596046120279385,9333.0,lateral
bici,0.7606295761592203,7333.0,frontal
persona,0.7219533310018065,4254.0,lateral
persona,0.8973341367076116,26654.0,lateral
persona,0.7451300166477616,15212.0,lateral
perro,0.7841821672852258,6002.0,lateral
coche,0.8312611166468459,56541.0,lateral
coche,0.8504445495716179,50109.0,frontal
perro,0.730904250218399,21303.0,frontal
coche,0.726640518373529,31760.0,lateral
perro,0.3574309975792106,17316.0,frontal
perro,0.7722908788366463,59501.0,lateral
persona,0.5684913569917004,51284.0,frontal
bici,0.8337751912843825,11574.0,frontal
persona,0.6790646666131603,58542.0,lateral
persona,0.6259166679019943,52211.0,lateral
perro,0.5827602242929615,55320.0,lateral
persona,0.95619442294264,56484.0,frontal
coche,,36916.0,lateral
persona,0.7555636948806872,3427.0,frontal
persona,0.797928828663943,12964.0,frontal
persona,0.9231516628040043,26155.0,frontal
persona,0.846031771351286,34804.0,frontal
persona,0.742443933580535,31644.0,lateral
coche,0.7729073252885632,570.0,frontal
persona,0.8029521700254107,38857.0,frontal
persona,0.7152453029554284,4765.0,lateral
persona,-0.22774488389134828,56552.0,lateral
persona,0.8541245160351832,12740.0,lateral
persona,0.6683282659048062,30285.0,lateral
coche,0.7875319168143636,28174.0,lateral
coche,0.8717548955094454,41846.0,frontal
persona,0.8463708948398002,23718.0,lateral
persona,0.933876695339485,34310.0,frontal
coche,0.9011212452869584,57432.0,frontal
persona,0.7360786830179348,45236.0,frontal
perro,0.7454201404062888,,lateral
persona,0.8473107507357491,38482.0,lateral
persona,0.9422781223770004,11179.0,frontal
persona,0.7685087588426894,6166.0,lateral
bici,0.8845598782793731,37775.0,frontal
coche,0.7198673895925504,9714.0,lateral
coche,0.7183017064023596,36975.0,lateral
perro,0.9676818860856518,8470.0,lateral
persona,0.8044807628155208,52690.0,frontal
coche,0.5988311317186885,57244.0,lateral
persona,0.8283786966285386,42618.0,lateral
coche,0.7411797288359183,59472.0,lateral
bici,0.6625466357760715,14751.0,lateral
persona,0.8613705161214481,51686.0,frontal
bici,0.6733814333956066,45049.0,frontal
persona,0.8751810912155349,47697.0,frontal
persona,0.7415732442906618,15517.0,lateral
coche,0.8291537860658635,18784.0,lateral
coche,0.8556704153169933,57271.0,frontal
bici,0.8776315094196829,27794.0,lateral
bici,0.6218005843532511,50197.0,frontal
persona,0.7930637855215713,278.0,frontal
persona,0.7315416738668367,38140.0,frontal
coche,0.6915565554625085,45507.0,frontal
bici,0.7206977323583197,32922.0,frontal
coche,0.8529348880775071,59587.0,lateral
persona,0.9573594759097809,50504.0,lateral
coche,0.8370134924024284,22183.0,frontal
bici,0.8728981502710624,13878.0,lateral
bici,0.8338656892717453,2575.0,frontal
persona,0.849807604145858,15544.0,frontal
persona,0.799565336097932,31749.0,lateral
persona,0.8945524639935151,22067.0,frontal
bici,0.5978107366479186,28101.0,frontal
coche,0.7501331223832387,14654.0,frontal
perro,0.5801771322772417,28613.0,frontal
coche,0.8012808193612461,59357.0,lateral
persona,0.9334664868865616,26312.0,lateral
bici,0.8404067103592797,58262.0,frontal
coche,0.9202609606705059,41129.0,frontal
perro,0.9260941728557185,55334.0,frontal
coche,0.8257455656646475,45191.0,lateral
persona,0.8750163938670493,42070.0,lateral
persona,0.6718264977813172,58196.0,lateral
bici,0.7830797500502368,4822.0,frontal
coche,0.9280822424550483,54411.0,lateral
persona,0.5308308776652229,32623.0,lateral
coche,0.8891261914681067,4134.0,lateral
coche,0.8076872652090786,9778.0,frontal
persona,0.6417819880062328,17981.0,lateral
coche,0.8138185465903393,6393.0,frontal
persona,0.8251909132928216,58327.0,lateral
persona,0.7175266361033007,25416.0,lateral
coche,0.9272973727809276,57975.0,frontal
bici,0.8437706178617032,31968.0,lateral
persona,0.7676433082042218,19964.0,lateral
coche,0.9424904640899678,16586.0,frontal
perro,0.8918051858392927,55200.0,lateral
coche,0.7699742110734413,57460.0,lateral
persona,,24342.0,lateral
persona,0.7779256725976373,41085.0,frontal
bici,0.8559880603057777,30992.0,lateral
coche,0.7004899555989994,3829.0,frontal
coche,0.7538574820953946,13100.0,lateral
persona,0.7464159317665731,35391.0,lateral
coche,0.7655029973364972,246.0,lateral
persona,0.7614855880744571,19748.0,frontal
persona,0.9236290588692807,26018.0,frontal
coche,0.7742837824197665,11811.0,frontal
persona,0.7667908135145375,13467.0,lateral
perro,-0.7806461533918888,56194.0,lateral
coche,0.4436938721961045,13024.0,frontal
persona,0.8845262810519496,24378.0,lateral
persona,0.7653588790585087,37797.0,lateral
bici,0.9454291233692942,35014.0,lateral
persona,0.898712982620905,16460.0,frontal
coche,0.8562223186902748,30034.0,lateral
coche,0.8578221576172439,43478.0,frontal
coche,0.48647246949861234,21541.0,lateral
bici,0.8831259151600678,49068.0,frontal
coche,0.7936564162430585,24082.0,lateral
persona,0.6495777327167829,48024.0,frontal
coche,0.8866884993969538,54847.0,frontal
bici,0.8226134616346451,57282.0,frontal
coche,0.7047825133790847,37410.0,lateral
persona,0.9511348114450805,37634.0,frontal
coche,0.800758560778022,20294.0,frontal
persona,0.7188924789087171,47374.0,frontal
persona,0.6625940298737055,44661.0,frontal
coche,0.8121002339877627,40927.0,frontal
perro,0.7593655540423699,25208.0,lateral
persona,0.7676916959642969,2494.0,lateral
bici,0.8661163839558317,47611.0,frontal
persona,0.7164832553681227,9970.0,lateral
persona,0.5341321871060515,14277.0,frontal
perro,,2285.0,frontal
persona,-0.654508995198539,58634.0,frontal
persona,0.8323749961732668,25511.0,lateral
persona,0.6659191045725275,53585.0,frontal
bici,0.8101815404058603,9151.0,frontal
coche,0.9215706793712355,32202.0,frontal
coche,0.6801137419319631,8488.0,frontal
perro,0.7243084952680955,26671.0,frontal
coche,0.7916851067706067,,lateral
coche,0.8449241696398145,13744.0,frontal
persona,0.7125848982278249,46001.0,frontal
persona,0.8274990515713422,48221.0,lateral
persona,0.8397872884802579,19960.0,frontal
bici,0.7874923983816077,4263.0,lateral
persona,0.6735171023213036,49115.0,frontal
persona,0.8696790176204642,51322.0,lateral
perro,0.8275807964769348,35452.0,lateral
persona,0.8195743125886715,20980.0,lateral
persona,0.7812588717995123,14296.0,lateral
coche,0.9674643227361325,33313.0,frontal
coche,0.5866794002747944,,frontal
perro,0.5912307958423734,22204.0,frontal
,0.8253888411981426,53312.0,lateral
bici,0.9418158709582378,36853.0,frontal
persona,0.78930062196756,52113.0,lateral
bici,0.8298036662518485,9980.0,lateral
persona,0.5907899224260287,21064.0,frontal
perro,0.8007012598844087,1858.0,lateral
persona,0.8635057353481749,4770.0,lateral
coche,0.6461729863801917,36974.0,lateral
coche,0.5201336603692918,42278.0,frontal
persona,0.8125243695599838,4525.0,lateral
persona,0.8835739949202607,35456.0,frontal
persona,0.8128350957199879,32884.0,lateral
persona,0.7369984639248223,17930.0,lateral
persona,0.7332250715270541,25615.0,lateral
coche,0.9207931341668647,9810.0,frontal
persona,0.7973348664340375,59330.0,frontal
coche,0.8821456359346059,35641.0,lateral
persona,0.7474387931285708,55971.0,frontal
coche,0.7642790868905043,5896.0,frontal
persona,0.7863608521579856,57508.0,frontal
coche,0.9745942593166287,51779.0,lateral
persona,0.772029661771643,58593.0,lateral
perro,0.6810446865101042,37354.0,lateral
coche,0.7272285662827604,1194.0,lateral
coche,0.9133184508183816,17873.0,frontal
bici,0.7881624219671657,2630.0,lateral
coche,0.7579963472052141,21668.0,lateral
persona,0.7773202367951534,10457.0,lateral
coche,0.8583711075401056,34815.0,frontal
persona,0.8386744166866511,24327.0,frontal
persona,0.9045366551096717,19487.0,lateral
perro,0.7903733500389386,17359.0,frontal
persona,1.2615877110264984,3944.0,lateral
coche,0.7644631015000627,42311.0,lateral
coche,0.6797915074072324,41052.0,lateral
coche,0.9062823244982937,43992.0,lateral
persona,0.7987254602738956,47716.0,frontal
persona,0.8871191679895962,6184.0,lateral
persona,0.8676459964777133,40829.0,lateral
persona,0.6625072135388014,365.0,lateral
bici,0.6164620833244696,59326.0,frontal
persona,0.617703906479867,41341.0,lateral
persona,0.5803322198346179,21136.0,lateral
bici,0.7883113781190437,17891.0,lateral
coche,0.8540671304767009,33937.0,lateral
persona,0.6609019910108294,3603.0,lateral
persona,0.8967945224403611,52004.0,lateral
coche,0.7611833104582006,55740.0,lateral
bici,0.8720115856299113,4509.0,lateral
persona,0.8298548899610095,19547.0,lateral
persona,0.8128472950702746,58064.0,lateral
coche,0.8590452064894847,52697.0,lateral
bici,0.9703143375556901,20272.0,lateral
bici,0.9207130349387742,26576.0,lateral
persona,0.8519350461553789,8839.0,lateral
bici,0.7293512362969203,27511.0,frontal
coche,0.9496443948165619,27089.0,lateral
persona,0.5466267013100118,52751.0,lateral
persona,0.7040173826024412,40971.0,frontal
persona,0.7322574865828027,23506.0,frontal
coche,0.6930949285815424,15011.0,frontal
persona,0.8032099082799318,29260.0,lateral
persona,0.8554056691736402,2910.0,frontal
coche,0.6431420455900363,37705.0,lateral
perro,0.8607991430758407,14838.0,frontal
bici,0.9092698872444469,4785.0,frontal
persona,0.852603070731167,25895.0,lateral
persona,0.6305407437250158,54116.0,lateral
perro,0.842332176571894,33966.0,lateral
coche,0.9655065742009284,34565.0,frontal
bici,0.8146172627216449,20690.0,frontal
coche,0.7764738403885298,6639.0,lateral
persona,0.8411241490756856,32571.0,frontal
bici,0.7116747405106834,468.0,frontal
coche,0.7198471302250868,42783.0,frontal
coche,0.6050654222343952,28937.0,frontal
persona,0.5998713233524071,18696.0,frontal
persona,0.5977259158573682,47571.0,frontal
persona,0.9342816800116321,37042.0,frontal
persona,0.5466659407075934,38757.0,frontal
persona,0.8593835308270311,47752.0,lateral
persona,0.8309680417978006,10634.0,lateral
coche,0.6353402248494381,18613.0,frontal
coche,0.8931735070688728,57762.0,lateral
persona,0.6232604964487208,44744.0,frontal
persona,0.6491097499571844,37353.0,frontal
persona,0.9201772684490306,42610.0,frontal
perro,0.7881240667845261,45962.0,frontal
persona,0.8205154353222803,54502.0,lateral
perro,0.7029564099515223,58431.0,frontal
coche,0.6549094963527211,30159.0,lateral
coche,0.9717344860366347,40899.0,lateral
persona,0.8642477095027522,23273.0,frontal
bici,0.8805881951856761,57538.0,lateral
persona,0.8570685726033201,26023.0,frontal
persona,0.8420967597622638,43444.0,frontal
bici,0.6961828101052692,47154.0,lateral
persona,0.901226153756814,43613.0,lateral
bici,0.7750321187019653,31964.0,lateral
coche,0.9146422862043329,29726.0,frontal
persona,0.5849065016496778,43466.0,lateral
perro,0.5343874930431509,4202.0,lateral
coche,0.7778332410855189,16789.0,frontal
persona,0.7322123025045119,25382.0,frontal
bici,0.745443075554511,4988.0,frontal
coche,0.6936208042645795,15609.0,lateral
persona,0.7072906848365168,20408.0,frontal
coche,0.7310125476473015,54491.0,frontal
persona,0.49748756807913463,13009.0,frontal
persona,0.9032714832936869,27547.0,frontal
bici,0.8965794532789523,44482.0,lateral
persona,0.610333887006376,38821.0,lateral
coche,0.8886698848812027,34230.0,frontal
coche,0.8730714346472004,13601.0,frontal
persona,0.5028421944173633,8918.0,lateral
coche,0.6672486727861002,46492.0,frontal
persona,0.9227596028665942,5879.0,lateral
persona,0.5806676449302196,14772.0,lateral
persona,0.9006607339325017,25646.0,frontal
persona,0.8517389113281306,34302.0,lateral
bici,0.7449458345137083,4382.0,lateral
persona,0.8808964007046489,,lateral
bici,0.7743288600266808,382.0,lateral
persona,0.7255372874607807,54910.0,frontal
persona,0.9847353593705299,18944.0,frontal
bici,0.668371311180479,49844.0,frontal
bici,0.8250645950240592,28513.0,frontal
persona,0.7187486557395089,48681.0,frontal
coche,0.8877671431615337,11033.0,lateral
persona,0.809516734261398,36751.0,lateral
bici,0.8469297436854469,43103.0,frontal
persona,0.8337455791593757,40813.0,lateral
perro,0.47641296429365165,52731.0,lateral
bici,0.8557836431374449,55680.0,lateral
coche,1.6219036960431161,53712.0,lateral
perro,0.7336910327651731,57031.0,frontal
coche,0.44315196220677133,29025.0,frontal
bici,,34876.0,frontal
coche,0.909080375455994,47019.0,frontal
coche,0.9562344724923446,18351.0,frontal
coche,0.6831488303502394,50843.0,lateral
persona,0.8687351334573336,28272.0,frontal
coche,0.9429841422603394,10671.0,frontal
persona,,50769.0,lateral
persona,0.819472486403165,46205.0,lateral
coche,0.8930735380090812,25072.0,frontal
persona,0.5656898404802789,19053.0,lateral
coche,0.6251741882860111,20312.0,lateral
persona,0.5950230862849445,43185.0,lateral
perro,0.8471803890584707,6438.0,frontal
bici,0.9272888989174827,30044.0,frontal
persona,0.899231621233993,23014.0,frontal
coche,0.9225526895412816,4729.0,lateral
persona,0.8577160150490541,36364.0,frontal
coche,0.7661197574316942,57176.0,frontal
coche,0.6942155700576428,34766.0,lateral
perro,,6381.0,lateral
coche,0.8966580070698424,59683.0,lateral
bici,0.8105412646826686,29740.0,lateral
persona,0.7923905712382578,45182.0,lateral
persona,0.8888009084630029,15931.0,frontal
persona,0.8860087516584552,14627.0,frontal
coche,0.9088525396223888,23699.0,frontal
persona,-0.7647201831798264,4729.0,frontal
persona,0.554188653591833,47622.0,frontal
persona,0.6515514293083146,2023.0,frontal
bici,0.7392931410395779,54357.0,lateral
bici,0.7407307074094663,26834.0,lateral
persona,0.5603243829102956,52666.0,lateral
persona,0.8456854047675769,31063.0,lateral
persona,-0.46367720734345236,1510.0,lateral
perro,0.7035430644973981,796.0,frontal
coche,0.8359343481523999,5343.0,lateral
coche,0.9494114755165156,26200.0,lateral
coche,0.8369940520852609,33890.0,lateral
coche,0.859692749660512,42296.0,lateral
perro,0.7641872042245045,17445.0,lateral
coche,0.8865827738779187,25335.0,lateral
bici,0.38358511046234994,39492.0,frontal
coche,0.6765059429787071,29579.0,lateral
coche,0.934973525644698,26453.0,lateral
persona,0.7159556422539605,44492.0,frontal
bici,0.9496452207353625,50241.0,lateral
persona,0.9304329644104978,36308.0,frontal
persona,0.7311346021275019,20721.0,frontal
persona,0.832351942318018,35928.0,frontal
coche,0.48857932834260137,47480.0,lateral
coche,0.7220860237619573,50415.0,lateral
coche,0.6026070257158592,54639.0,frontal
coche,0.8401200003265175,59748.0,frontal
coche,0.7657477496358538,4622.0,lateral
persona,0.5276318291084873,16541.0,frontal
persona,0.8907697614078202,1482.0,lateral
persona,0.7344213766672745,9658.0,lateral
bici,0.9035092195585077,40864.0,frontal
coche,0.7976535493382045,15186.0,lateral
perro,0.9143318975384195,38096.0,frontal
persona,1.4669499590873356,21546.0,lateral
persona,0.8443121567623082,46323.0,lateral
persona,0.9812553537829596,7238.0,lateral
persona,0.9873699438491806,56329.0,frontal
bici,0.7043258150780415,57297.0,lateral
bici,0.8324282223549981,16171.0,frontal
bici,0.38507005405764094,43271.0,lateral
bici,0.8524864189854375,55838.0,lateral
persona,0.631696482499354,20055.0,frontal
persona,0.5792411273478024,17258.0,lateral
bici,0.6992643072044179,50949.0,frontal
persona,0.44229750520359296,37213.0,lateral
persona,,16470.0,lateral
coche,0.8024557553651583,5909.0,frontal
coche,0.6991526963731368,41748.0,frontal
perro,,41420.0,frontal
coche,0.8210851358215131,6158.0,lateral
persona,0.8750934264345441,15079.0,frontal
bici,0.9220056054666931,25277.0,frontal
coche,0.5229969855981392,21675.0,frontal
coche,0.5858540464550575,29821.0,lateral
persona,0.6454488073558712,8722.0,frontal
persona,0.6788477150534566,28038.0,lateral
persona,0.7641389563592935,38664.0,frontal
persona,0.7867893563792361,35680.0,lateral
persona,0.6724112055372191,32345.0,lateral
persona,0.8044502137130743,27861.0,lateral
