objeto,confianza,fotograma
persona,0.5143165847535481,46666
bici,0.7526466378207969,43653
perro,0.8590142747269092,30864
coche,0.9243826961471175,37067
persona,0.6095476747946177,28288
persona,0.5553887305122214,13654
persona,0.8945729584917109,8255
persona,0.82859796065657,49535
coche,0.7477796497444869,25718
persona,0.9267728711342395,16312
coche,0.8769091265721167,35167
coche,0.7822180856309063,16023
coche,0.9014157583742406,42057
persona,0.9456751744890216,6384
bici,0.9505065356062221,45552
coche,0.6846057465471588,18037
coche,0.778797933997558,34907
persona,0.8344740233099243,12451
persona,0.7403129299963453,28136
bici,0.6444152980028286,23836
persona,0.6886227417669698,33831
persona,0.7263508932184252,10935
coche,0.9134203263225418,34121
coche,0.7223615678854128,15826
perro,0.9727967387668701,1783
persona,0.6935624757159227,7846
bici,0.45947695701357855,43218
persona,0.8711966656646591,49552
coche,0.7499976347103874,13862
coche,0.9423283030891612,10092
persona,0.7123080508858087,47802
persona,0.8441515714412672,20975
persona,0.923711112197772,25700
perro,0.8504638870911471,44591
coche,0.6220210121329065,19332
perro,0.7434394733897365,9163
bici,0.6072827415367975,37031
coche,0.32345905458986046,8617
bici,0.5894243657954623,28790
persona,0.5534441844686572,37692
persona,0.7432819434515758,35257
bici,0.9136617173068305,19780
bici,0.893385736953813,47583
persona,0.9248109013222156,24405
coche,0.8197305995597418,9318
coche,0.6913408227121848,28393
bici,0.7826661480323008,20667
coche,0.7101411846495248,49482
persona,0.8401142353906181,38188
persona,0.9717064666959098,9886
persona,0.626352740281607,43424
coche,0.7941432930924833,30436
bici,0.6157490299335886,17002
coche,0.5305732895834433,45749
persona,0.7554781156059883,41106
persona,0.6842676753351965,31157
coche,0.7858296679239885,20832
bici,0.9355611424133671,2269
persona,0.8158750766218232,32545
persona,0.9298372531797029,38503
coche,0.9577589669708741,4379
persona,0.6810751924253033,37581
bici,0.757459637147753,38989
persona,0.8848972244026954,49713
persona,0.8701530887345623,37083
bici,0.8222465686029962,18283
persona,0.7496307129967109,12150
persona,0.7518295923334145,7682
persona,0.8717085476555041,35174
persona,0.7141093754948501,30169
persona,0.9159794851850974,16188
persona,0.6785370033109387,43178
persona,0.6723642234894487,32272
persona,0.8640794374607393,23844
coche,0.7634691309893724,37552
coche,0.837666184452933,21172
persona,0.7824744818109257,26712
persona,0.3576842617177203,41963
coche,0.6317345686642761,2249
bici,0.7207864093921458,34410
bici,0.8662124116891158,15000
persona,0.8772088827373441,35675
persona,0.7103491883969372,37039
persona,0.7019272453357533,26629
persona,0.629010909936592,47051
coche,0.520655361535155,25310
persona,0.8221265201077848,26512
persona,0.7515755241594868,37916
persona,0.5946795899057845,3047
coche,0.6921808881593788,48526
persona,0.8657521650668067,33867
bici,0.699399897161131,49209
persona,0.8040601265900938,2120
bici,0.8701667829687606,16390
persona,0.8148466860996284,30406
bici,0.666653044699271,6161
bici,0.8927125221740194,15699
perro,0.5657975191969172,4142
bici,0.9417551713178732,27105
bici,0.6031806632829348,47065
coche,0.7819212294443217,20141
bici,0.8381793136243555,14
persona,0.9044380078532923,3229
coche,0.8626291037971975,38846
coche,0.9344759815548964,37855
bici,0.6723128566242796,40230
coche,0.8409768738189418,24981
persona,0.675760867997645,26747
coche,0.6820599026430654,13930
persona,0.8634392500992285,36511
persona,0.7301293405873747,21970
coche,0.9349376176503016,26875
persona,0.866813875356356,34218
persona,0.9118627749472177,6949
persona,0.6691549065061089,15125
persona,0.7805419528134868,4077
persona,0.5782921810847977,1246
persona,0.8314103830959763,9775
coche,0.5952023926529809,1915
persona,0.7091498374572416,36522
perro,0.5704503966540774,16342
bici,0.8492660057069917,3324
coche,0.5938424706259112,45557
persona,0.8275449181642377,40296
coche,0.4738742373961593,31500
bici,0.7143975304733562,44057
coche,0.7882885703166672,42356
bici,0.9318076342913757,47395
coche,0.7248005195058016,22516
coche,0.8395468539441104,14359
persona,0.8762487905962221,4146
coche,0.7517289342789564,38718
persona,0.6202607604801864,19028
coche,0.5482148964469915,27151
bici,0.8370934415837583,14574
persona,0.6565276168926204,2668
coche,0.9480364130172392,47236
persona,0.6421254882234828,33091
coche,0.826377542852747,21495
persona,0.6195908108470931,47218
perro,0.6601302525662998,48197
persona,0.6032770126768707,48808
perro,0.5873186789953738,22116
bici,0.8092191447785515,41830
coche,0.8696748178434709,22286
bici,0.6607038190755853,28801
bici,0.8521392313056035,40289
perro,0.6939452866949584,36199
persona,0.7056895945608056,40351
coche,0.8876392621306469,6874
persona,0.8416394843157475,46373
coche,0.5636682966127716,46055
persona,0.6587433140920651,13960
coche,0.6569618490308065,49188
coche,0.8557922827675,4877
coche,0.9146132719756863,31202
coche,0.9323972843781672,14003
bici,0.6266967756751484,12143
bici,0.6892960108049029,17256
coche,0.8279171901717625,17806
coche,0.6336175228512552,2670
perro,0.9454362363211608,3714
persona,0.7433792223652466,47607
persona,0.8117269138504732,41456
persona,0.6999047827103626,38483
coche,0.7935649356722558,28627
persona,0.9616470266831737,11438
bici,0.6661180894176592,36114
coche,0.6854590997344084,3987
persona,0.7784719146021679,25475
bici,0.7403896196123921,16738
bici,0.7635249021217972,8756
persona,0.7377981774645551,6130
persona,0.6058175744578739,5248
persona,0.6918781932590027,34828
persona,0.8529721634511792,30817
persona,0.8471215329589455,12829
perro,0.7306054453204901,42144
persona,0.8141410506726869,17472
persona,0.5971488150354917,23691
coche,0.794868689143588,27885
coche,0.771412072603528,24889
perro,0.7273873978415366,26204
bici,0.8307130087458967,18083
coche,0.6585350592758163,31535
persona,0.7234033067885826,38096
perro,0.4388177563639132,22731
coche,0.6743947496880653,9140
perro,0.6081433655112949,1428
persona,0.8740952093411937,39082
bici,0.6939696418521984,7481
coche,0.7823092084566718,45025
persona,0.8475597875130572,29367
coche,0.8694141977619592,49468
coche,0.719228516266688,21485
persona,0.8845103049925861,15166
coche,0.7431282609688991,43520
bici,0.5767778649320948,21528
persona,0.779914257191736,41566
coche,0.8631044676333549,18523
persona,0.8442455940030238,8122
persona,0.8652610759000432,30464
bici,0.6627387289610635,2846
bici,0.7497174111486182,12847
persona,0.7845965505506541,11491
perro,0.6716324023859638,38635
bici,0.8702059851424497,2382
persona,0.7588877219434033,33543
bici,0.8801300907773874,35429
persona,0.6712095953978906,23614
perro,0.9215443214571458,18319
coche,0.42924394323527365,1705
coche,0.4772354231946335,39444
persona,0.7262228863675392,38938
bici,0.7912719575008467,6365
persona,0.9166366031074851,37061
persona,0.6898072468358719,30070
persona,0.8644920038369414,29974
bici,0.8402675856436662,32139
persona,0.7830034803647555,47561
bici,0.6064432972387083,15348
coche,0.8972531730800618,27523
persona,0.5296211738958594,30404
persona,0.8334764379680049,8920
persona,0.8184569380880835,35448
coche,0.7685989009876909,8368
bici,0.6395759654075744,43772
persona,0.8621538920968348,20447
bici,0.7600247819612611,17152
persona,0.9445201385217388,34322
bici,0.6692461348630085,2000
bici,0.8179675813807411,5893
bici,0.7469101300671314,11630
coche,0.9289899632789757,46866
bici,0.7069276310642366,20616
persona,0.8961637675723984,40945
persona,0.7154472945947365,29110
persona,0.8841321647890159,35259
coche,0.7685242670724107,32253
coche,0.689396800627412,520
coche,0.6974422685586134,12678
bici,0.5331172174369703,33469
persona,0.977297293948784,15649
coche,0.9123078294123343,49296
persona,0.8211177386034808,36534
persona,0.750377097489838,16835
coche,0.7952874406788413,43598
perro,0.7482542484440664,16920
coche,0.7483571513532387,1341
persona,0.43788844265223487,10242
coche,0.8606762145828095,9862
persona,0.8639198212364619,33987
bici,0.8943324618948368,46907
coche,0.8773168178484987,30754
persona,0.8557447423123241,46621
persona,0.5752131909806745,37962
persona,0.5990127684840497,27151
perro,0.5253270864378108,16633
coche,0.9100851736718715,36580
bici,0.7417076408438475,49590
coche,0.8377438698793171,26789
coche,0.7624607059013646,19218
persona,0.7084514088446382,26768
perro,0.8679786759133234,25605
persona,0.9014553549009166,481
coche,0.8271521504956704,19189
coche,0.8474263258325108,43715
coche,0.9082364264166392,38267
perro,0.7423398493701479,12694
persona,0.9199232388698793,34187
coche,0.6641539988478974,10646
persona,0.6660686401100762,9736
coche,0.8330302990676774,18771
persona,0.8104485369051593,15804
persona,0.6779340893538907,782
persona,0.8494327995227949,10705
persona,0.8504707739465743,9990
persona,0.5840863731053113,11965
coche,0.9018521188658977,314
coche,0.8920587443772405,22229
persona,0.9086715783973581,35568
persona,0.7397694334839452,31339
persona,0.7828729901330893,43757
coche,0.9002451845176964,5673
persona,0.7140078962431902,27424
persona,0.7399176699786603,46670
persona,0.9367561225613112,17555
coche,0.8898743434222667,11787
persona,0.8363381145452813,4701
coche,0.9517263213782576,43119
coche,0.9762739301625653,13281
coche,0.7650571328777418,23085
coche,0.8736002404130196,32897
coche,0.79502526222247,20867
persona,0.7703347040140088,168
bici,0.7874380583778221,13595
coche,0.927392563434551,1646
persona,0.7951587206216963,3910
coche,0.423575736724002,45675
persona,0.930851144091642,31869
coche,0.559339951570382,46656
coche,0.6106710865676604,7763
bici,0.9063752031010179,4993
bici,0.8685570537162554,24461
coche,0.8295753589007215,6423
coche,0.6795781238872417,14921
bici,0.42406469453686846,25738
persona,0.6952577040189358,47803
bici,0.7637131641744445,5323
coche,0.816420826927075,29767
persona,0.8435101164555836,46934
persona,0.8652570866608639,20108
bici,0.5622844659408173,28531
persona,0.739740590215208,15663
persona,0.7792164207782917,44100
persona,0.7902466197344188,884
persona,0.8661776597314141,45362
persona,0.836755393341436,37813
coche,0.7695912318408661,37277
persona,0.6378002285732661,31161
bici,0.8445276222900662,9032
bici,0.710544859523575,37917
persona,0.8145416345409568,7583
persona,0.838333397892858,964
coche,0.8613530389441921,38708
persona,0.6000688550577445,16995
persona,0.6269676155494799,8026
perro,0.698510132178565,25992
perro,0.5274262107926274,2685
bici,0.7980954442513924,40750
persona,0.5079147033013953,675
coche,0.853643253228477,24057
coche,0.7607961787185934,8013
persona,0.7050737872480567,47249
coche,0.5890331760796595,25296
persona,0.8609186212420804,31891
persona,0.5075107943974829,40326
coche,0.7491310489451947,44611
persona,0.9448083437724086,30780
persona,0.948426716259908,4387
bici,0.6145646937677356,16709
perro,0.7938022207061373,5069
coche,0.8645445356988771,18811
bici,0.7071707590922462,23977
perro,0.81204019459046,26431
persona,0.8150541282156194,49660
persona,0.7133420704814182,21854
persona,0.9083077823711462,36777
persona,0.8431496813251622,20571
bici,0.7593649033345425,37483
persona,0.9410978861258354,27693
coche,0.9136903626629481,16951
persona,0.5193528285995787,37484
persona,0.8364689744390988,22311
bici,0.7133454901019348,41196
persona,0.8652464743048477,17687
persona,0.905853774216159,4972
persona,0.980107214415756,10439
coche,0.7174079431557265,36962
coche,0.5645215855686632,3450
coche,0.7725244577230779,23933
persona,0.7333975859444686,6874
persona,0.8901722698817414,8288
bici,0.8380062506325375,30151
coche,0.9262113823262408,1109
coche,0.9251267434030149,43607
coche,0.9363962945399722,13794
bici,0.8000440825544692,38609
persona,0.8774981689736069,814
persona,0.5108641050040191,4841
coche,0.8431405273030199,48111
persona,0.9194116239629582,23557
bici,0.6182757365464976,36878
coche,0.7553851470352418,10614
bici,0.7017136452851942,5178
bici,0.8601916062385333,27294
coche,0.8712687036646107,47896
bici,0.7191797168896449,25079
coche,0.8433961071419953,9633
bici,0.6090258408443662,31174
persona,0.4774961636293072,23611
coche,0.38289980969231624,44904
coche,0.8137235435902717,41986
persona,0.8169190393050041,37984
persona,0.8559799973835658,2371
bici,0.727425027736803,19803
coche,0.5721540876813643,6939
persona,0.7438972911826389,17240
persona,0.9024724960271719,27168
persona,0.7552696090197958,10242
persona,0.7942053789411221,43240
bici,0.38278394996309717,48120
persona,0.771448491788933,7873
persona,0.7856259629928302,45372
coche,0.8020468167971678,6320
persona,0.9227122525465445,16206
persona,0.5677802719243467,24230
coche,0.7183629938945744,46409
coche,0.8442090308004805,28377
perro,0.6128113403728024,29457
coche,0.8109744014999305,12262
coche,0.6633843926530759,47447
bici,0.8088641064454338,15393
bici,0.8389425470318378,17049
coche,0.8549057323264223,42888
perro,0.7851120300573796,13512
bici,0.5540782139581361,31846
bici,0.8761789769764575,36999
persona,0.7976600018428468,7761
coche,0.9576366203834215,2498
persona,0.8139899882875927,12716
coche,0.8535320119457764,25871
coche,0.6548500456827384,24631
perro,0.8730506870413753,9445
perro,0.7863486754595774,37018
persona,0.6768753466147924,19961
coche,0.6965662463798798,6654
coche,0.6890169854216609,20746
persona,0.7990471151897698,29744
persona,0.8350586394709211,13879
persona,0.8663776506899218,32765
bici,0.7454886301593621,26335
coche,0.4574284062867321,27913
perro,0.8879236787899951,36354
coche,0.8712268839381874,29344
perro,0.7960342947698618,17666
persona,0.8131654927135086,14669
bici,0.7404576486289278,29345
persona,0.9036710879543475,45636
coche,0.8877368760478961,31608
bici,0.8085260957156198,34540
bici,0.8671461849608478,5211
bici,0.6186987942225078,4485
persona,0.7302669504399166,37049
persona,0.685417059272218,27887
persona,0.6240681226097314,34665
persona,0.85478088409188,6256
coche,0.9018026222270931,34479
coche,0.7589557766156964,44535
bici,0.637293996636891,1138
bici,0.8498861739630889,192
coche,0.8305708090793226,36647
bici,0.5275123386127716,47163
persona,0.8633785278549257,29254
persona,0.6983223413770345,24882
coche,0.7436853553063923,21674
bici,0.7578494539150261,21980
persona,0.7273428831099772,20385
coche,0.6135448011775285,25366
coche,0.8851591858457671,45615
persona,0.7569346170149436,25543
persona,0.7647824627712708,22411
bici,0.7575744396117877,30978
coche,0.7744669342175706,28270
persona,0.7964368307606615,34206
bici,0.6478195206788648,44902
persona,0.8468808298948306,29085
bici,0.6667157872243128,25368
persona,0.5488910796605634,25571
coche,0.7218288210471879,216
persona,0.6896294109524033,9546
persona,0.6403917322169307,14293
bici,0.7647638792692684,16564
persona,0.7931310653250483,34933
persona,0.4810417476020643,15110
persona,0.704387111924246,24820
coche,0.8326778178093428,40898
bici,0.7373921206705675,27706
perro,0.85378369079945,29002
persona,0.7132723171268348,14058
persona,0.6011263569582449,44040
persona,0.8042529865712331,23135
coche,0.7884302320446591,49712
perro,0.812958385138297,26525
coche,0.8491057949145083,25340
coche,0.8301388483423705,7304
persona,0.7116881232851522,43136
bici,0.7774142754373451,33280
coche,0.8226771306348055,36482
persona,0.6492137708112942,25462
persona,0.6006395720858525,26721
persona,0.7057661596248388,48262
persona,0.7790906655883512,2919
persona,0.9079157425660895,46879
coche,0.6495295554317867,2410
coche,0.7737670912810479,35129
persona,0.810235567587362,6077
persona,0.8032776286369444,12447
perro,0.6947082451581534,14484
bici,0.7116433764834789,6236
coche,0.8812415328814913,23630
persona,0.6832830840984283,25242
bici,0.8753049981708916,762
persona,0.6799999366601713,13637
persona,0.9318812340051593,38052
bici,0.7754021336749817,43998
coche,0.3231687304187196,29542
coche,0.5020565874154752,27452
coche,0.7135986512608024,34820
coche,0.7039502354578563,26839
persona,0.8274669291050568,34670
persona,0.694767859269173,30749
persona,0.7983421791758315,30982
persona,0.6251516835097211,21069
bici,0.8999552478412477,7745
persona,0.777835927644909,759
coche,0.5237525444906025,6374
bici,0.8888026264602016,25624
bici,0.5668640198120245,23476
persona,0.7861721104890799,4157
coche,0.8553938898068559,9937
perro,0.6785763643229912,49428
coche,0.8976801278347054,17068
bici,0.7642376263117637,49520
bici,0.8497130861047769,5744
bici,0.5900577184498366,25728
persona,0.840999176590751,6703
coche,0.5473009813656416,48951
persona,0.9346794079650534,38844
coche,0.8346891302602797,36141
perro,0.7555323614224523,2000
coche,0.6714153947070457,49384
persona,0.6951486880508214,46301
persona,0.7246084848829348,45877
perro,0.4650720599469336,3526
persona,0.8539216289476297,39980
persona,0.714840347331049,49525
persona,0.686385054234562,44929
persona,0.890791123810341,43622
coche,0.6920549163003149,23996
coche,0.7319769371724888,21544
persona,0.8171247618195014,43120
persona,0.6209001535434812,25351
persona,0.8046629304246189,20575
persona,0.7086378523699776,10653
persona,0.41386337356938313,48436
coche,0.6614454897466366,26627
persona,0.8250525333887138,18302
persona,0.8966730883841585,37278
persona,0.754609240536702,18113
persona,0.7302190876489784,12093
persona,0.7980807203015079,5821
persona,0.7675321711392944,45045
bici,0.8010541094777658,23105
persona,0.804985767048488,34152
coche,0.8068199362782796,16315
coche,0.7823674061891971,18596
persona,0.5466464178340066,49599
persona,0.7631831347092963,34756
bici,0.8227500865636899,8525
bici,0.5752674551564068,43626
persona,0.824083200133138,32870
persona,0.7022039493690085,12029
persona,0.6477495729410762,22469
coche,0.5080439515019102,49471
coche,0.6167059083919005,36415
persona,0.7761437725678016,41482
persona,0.8954098214038585,46733
perro,0.7791020658229201,28346
persona,0.8331115501854908,24733
coche,0.9670474775037122,48396
coche,0.7663880283366407,44706
persona,0.9683105630109083,40009
persona,0.7521394824182606,17535
persona,0.9148331241494393,44969
bici,0.5814478180121262,42567
persona,0.789349730744825,8280
persona,0.70158994983155,7515
persona,0.7927969532528623,32409
persona,0.9034891894722636,41864
coche,0.9479954927815339,21179
persona,0.7463254433112751,18888
coche,0.7410630552530804,10163
coche,0.8761312585488239,6320
bici,0.788415500641389,19760
persona,0.8487290978029836,18838
bici,0.8207700521926359,4526
coche,0.8800318817781883,37917
persona,0.7175452518960673,45670
bici,0.8575943163180063,39096
bici,0.5337357361471959,4828
persona,0.814824886558517,8389
bici,0.6046148107716388,16786
coche,0.7710287787778102,40413
coche,0.8721768244470717,42126
perro,0.581499327745896,27400
persona,0.7827266709273091,18086
bici,0.879270055222689,47986
persona,0.8701685537428027,48276
bici,0.7667911343613277,36274
coche,0.6628516591137278,27814
persona,0.8894511091525193,40085
persona,0.7363346845097601,6915
persona,0.38768633246238404,38288
persona,0.6165055957429636,45331
persona,0.967187003806383,17254
persona,0.789189844278548,10366
persona,0.3344653962721132,15105
persona,0.7478638232039133,34945
coche,0.9408684987118761,34795
coche,0.7509030890395068,27569
coche,0.9324360971694449,5418
persona,0.6568825790419507,27269
bici,0.9062653501882649,43060
coche,0.7872105964862987,17617
persona,0.8721594228653008,15434
persona,0.7073114503713186,23717
coche,0.8794196796873255,35300
persona,0.6747668795988864,45013
coche,0.9064226551333188,40632
perro,0.9127738079397576,6200
persona,0.9480038905581303,4012
persona,0.52441103094299,40411
perro,0.8157804494436918,21353
coche,0.8874284051537853,46134
persona,0.9647084571232178,33709
bici,0.7414983811156587,23798
bici,0.7821924421226061,44693
coche,0.7937087175808959,44756
coche,0.6549365188226244,40881
persona,0.8626947324632653,41039
persona,0.8928370708126813,12512
coche,0.7922618002884732,43688
persona,0.9428162332206033,37369
coche,0.705174256216521,46672
bici,0.7496888754981115,35668
persona,0.8711238053010755,25921
coche,0.6746035930390942,24142
persona,0.9265558851239388,8246
bici,0.6151995578258763,45648
persona,0.8701248241993508,21516
coche,0.7971063005497231,30109
coche,0.7583577805983321,45929
persona,0.7518483227184667,7663
coche,0.8229049687285359,20050
coche,0.9018817763040866,1893
coche,0.6230417570545481,46949
bici,0.8593795723477481,23691
perro,0.3871870993004396,33566
persona,0.5491820279771095,40985
coche,0.8417220002845746,20261
persona,0.8434802370205399,45540
bici,0.8799060533780657,23390
coche,0.5543956555295392,4984
persona,0.7566834127354256,2156
persona,0.700156620706832,2570
bici,0.774815623771344,978
persona,0.8888640597507389,22639
coche,0.7224362919959044,32642
persona,0.896482892375554,6905
perro,0.2498663958931353,13688
persona,0.7243680623620254,7823
persona,0.8022817327317007,8125
bici,0.7689906805665878,43533
bici,0.8941459958216291,34480
persona,0.8912194060153582,40044
coche,0.5838299906994036,13963
coche,0.7560571102783923,4485
bici,0.7872325154117552,17573
persona,0.5978087046829828,15884
coche,0.7629217739607399,48805
coche,0.9521412330579763,36838
coche,0.8011526191124256,8882
bici,0.7862599123309694,28363
coche,0.8656576707364716,21900
persona,0.855842569447217,19732
bici,0.7128461698055756,5273
bici,0.9563193587325388,22133
bici,0.7371207818745589,45588
persona,0.834835287683619,2324
persona,0.8386477160502778,7386
coche,0.9121657023251535,19471
persona,0.9014615681886996,24699
perro,0.8032469830787103,43758
persona,0.5790008315287071,35767
coche,0.908850809478996,5084
bici,0.6552767968749814,27273
persona,0.8718505558211587,7963
persona,0.6905079713854306,7976
coche,0.9815702892048799,21135
coche,0.7416764121589768,37339
persona,0.7012520427446228,18300
coche,0.8042941869543648,35478
perro,0.7285105399180206,39588
coche,0.8717015653640555,24021
persona,0.7740834983968705,17203
persona,0.8837964330164255,10453
persona,0.5878204155893625,46278
persona,0.7046599399226489,32161
persona,0.8548849159757108,49930
coche,0.7657903650798572,6541
persona,0.8772735956244194,27985
perro,0.712857592390227,5267
persona,0.5891533317158478,45554
persona,0.9244594005491976,18388
bici,0.6313255108277707,39343
bici,0.8388935402767687,13696
persona,0.4019326054499122,39460
persona,0.6900904157055155,32537
persona,0.8081594439021943,6107
coche,0.4900185563367562,22557
coche,0.5295391377856432,13418
persona,0.6850827057247458,40163
persona,0.9219655117631689,19233
coche,0.554788951983277,9053
perro,0.7467442731640187,33436
coche,0.7859313524793391,45667
coche,0.7382942295924286,4508
persona,0.7461149187213126,20391
persona,0.7155228599827979,11668
persona,0.838078970176515,5774
bici,0.793014040725191,43980
bici,0.9075406135135393,36399
bici,0.9392966201283895,32426
perro,0.6276221371768873,2065
perro,0.6122762202878119,36283
perro,0.8466085523838368,3524
persona,0.7485564267122136,24854
persona,0.8540067817156121,31722
persona,0.7645470212368639,43773
coche,0.7845061551708328,38221
persona,0.8652649794378577,6070
bici,0.611017539986816,1636
coche,0.7934518411487995,11243
coche,0.7783895951726688,22062
persona,0.9668663345991856,7890
persona,0.7438680069943231,16969
persona,0.8596868291854718,19458
bici,0.7620484239577936,29663
coche,0.7557408994424984,23431
coche,0.9438381338210784,25253
persona,0.906321638588834,12989
persona,0.8262088728389463,45376
persona,0.5375781957717765,28549
bici,0.6081175581707324,45174
bici,0.9277815262111909,8294
persona,0.6616017059500222,327
perro,0.8424092900206895,21006
persona,0.6723415741933056,15617
bici,0.6974290032492305,14995
